epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,444.287,1.27762,0.66903,0.01006,0.843,0.73333,0.74358,0.43388,1.61038,0.97933,0.01421,0.0011684,0.0011684,0.0011684
44,454.242,1.28841,0.65291,0.00939,0.89529,0.66667,0.74756,0.46512,1.38737,1.10633,0.01225,0.0011486,0.0011486,0.0011486
45,464.26,1.35753,0.73212,0.01105,0.95829,0.76594,0.81955,0.48076,1.42425,0.96495,0.01297,0.0011288,0.0011288,0.0011288
46,474.246,1.23449,0.6013,0.01029,0.91176,0.76667,0.79401,0.50576,1.28864,1.10906,0.01089,0.001109,0.001109,0.001109
47,484.313,1.31301,0.6698,0.01084,0.91989,0.76557,0.7826,0.46875,1.41993,1.07175,0.01235,0.0010892,0.0010892,0.0010892
48,494.332,1.27705,0.74493,0.0101,0.87504,0.70028,0.73155,0.464,1.40066,1.06278,0.0122,0.0010694,0.0010694,0.0010694
49,504.394,1.20518,0.68185,0.00889,0.95618,0.72762,0.74627,0.46279,1.39161,1.15015,0.01197,0.0010496,0.0010496,0.0010496
50,514.443,1.1971,0.76351,0.00967,0.95571,0.7196,0.77531,0.45181,1.44948,1.08079,0.01211,0.0010298,0.0010298,0.0010298
51,524.472,1.26256,0.73052,0.01103,0.88854,0.7973,0.79688,0.4464,1.46515,1.01829,0.0131,0.00101,0.00101,0.00101
52,534.535,1.23309,0.70468,0.00917,0.8671,0.73333,0.78216,0.49977,1.32463,0.8788,0.01122,0.0009902,0.0009902,0.0009902
53,544.488,1.11804,0.6369,0.00822,0.94001,0.7,0.75745,0.49644,1.26373,0.99617,0.01058,0.0009704,0.0009704,0.0009704
54,554.509,1.16401,0.56881,0.0085,0.94343,0.66667,0.74293,0.51463,1.25705,1.06929,0.01068,0.0009506,0.0009506,0.0009506
55,564.541,1.1378,0.62263,0.00871,0.93037,0.7,0.77382,0.51163,1.35943,1.09015,0.01175,0.0009308,0.0009308,0.0009308
56,574.507,1.14327,0.64949,0.00979,0.97322,0.76667,0.83311,0.53585,1.3448,0.94752,0.01149,0.000911,0.000911,0.000911
57,584.672,1.1375,0.64013,0.00957,0.8507,0.76667,0.77962,0.54479,1.25254,0.90545,0.01032,0.0008912,0.0008912,0.0008912
58,594.712,1.15872,0.55305,0.00823,0.84826,0.76667,0.7714,0.52156,1.25087,0.87198,0.01026,0.0008714,0.0008714,0.0008714
59,604.841,1.16199,0.57017,0.0089,0.92291,0.76667,0.79328,0.47895,1.29489,0.95735,0.01106,0.0008516,0.0008516,0.0008516
60,614.899,1.12602,0.57368,0.00902,0.84893,0.76667,0.75135,0.48524,1.3706,0.96227,0.01147,0.0008318,0.0008318,0.0008318
61,624.962,1.1524,0.57678,0.0081,0.84231,0.76667,0.77675,0.52696,1.20956,1.01131,0.01025,0.000812,0.000812,0.000812
62,635.066,1.12361,0.56193,0.00849,0.8468,0.73714,0.75998,0.51714,1.23669,0.91711,0.01037,0.0007922,0.0007922,0.0007922
63,645.105,1.11142,0.65228,0.00926,0.92077,0.77502,0.81833,0.5143,1.2535,0.98597,0.0113,0.0007724,0.0007724,0.0007724
64,655.143,1.18697,0.62618,0.00972,0.87497,0.76667,0.75512,0.50559,1.31751,0.93846,0.0112,0.0007526,0.0007526,0.0007526
65,665.208,1.13812,0.59728,0.00919,0.9095,0.73333,0.76614,0.5034,1.22681,0.93111,0.0107,0.0007328,0.0007328,0.0007328
66,675.206,1.10891,0.57987,0.00765,0.87791,0.7,0.73949,0.4773,1.33133,0.99263,0.01191,0.000713,0.000713,0.000713
67,685.293,1.0955,0.56251,0.00816,0.90029,0.73333,0.75949,0.49673,1.32698,0.91776,0.01139,0.0006932,0.0006932,0.0006932
68,695.324,1.05055,0.47106,0.00821,0.78745,0.76667,0.74502,0.4846,1.26658,1.04152,0.01128,0.0006734,0.0006734,0.0006734
69,705.343,1.16881,0.60809,0.00886,0.87921,0.72804,0.74988,0.46778,1.42408,1.12131,0.01278,0.0006536,0.0006536,0.0006536
70,715.54,1.08046,0.61125,0.00879,0.87981,0.73204,0.74394,0.4915,1.261,1.09212,0.01093,0.0006338,0.0006338,0.0006338
71,725.722,1.0769,0.56936,0.00881,0.88884,0.79958,0.78622,0.51058,1.25281,0.96043,0.01088,0.000614,0.000614,0.000614
72,735.797,1.06252,0.49607,0.00905,0.91525,0.7203,0.74753,0.50552,1.2554,1.0206,0.01086,0.0005942,0.0005942,0.0005942
73,746.018,1.11457,0.55779,0.00879,0.85158,0.76506,0.76618,0.50184,1.30876,0.99317,0.01153,0.0005744,0.0005744,0.0005744
74,756.332,1.12086,0.54137,0.0087,0.97695,0.76667,0.80311,0.50202,1.25841,0.95229,0.01114,0.0005546,0.0005546,0.0005546
75,766.523,1.08197,0.58869,0.00846,0.84698,0.76667,0.76169,0.5269,1.26101,1.02833,0.01066,0.0005348,0.0005348,0.0005348
76,776.798,1.08,0.61744,0.0091,0.84934,0.8,0.79115,0.50135,1.26636,1.03897,0.01118,0.000515,0.000515,0.000515
77,787.074,1.05861,0.53641,0.00796,0.98615,0.76667,0.79926,0.50374,1.27896,1.00783,0.01143,0.0004952,0.0004952,0.0004952
