epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,305.981,1.12629,0.75873,0.00988,0.82057,0.76233,0.74633,0.49166,1.45542,1.30501,0.01319,0.0011684,0.0011684,0.0011684
44,312.911,1.11465,0.66234,0.00833,0.86198,0.73333,0.74487,0.50433,1.50174,0.87401,0.0124,0.0011486,0.0011486,0.0011486
45,319.794,1.22906,0.70838,0.01029,0.86995,0.73333,0.76663,0.4934,1.55201,1.02251,0.01337,0.0011288,0.0011288,0.0011288
46,326.717,1.11094,0.76139,0.00884,0.91273,0.69734,0.72054,0.47201,1.45232,1.15859,0.01217,0.001109,0.001109,0.001109
47,333.697,1.16471,0.77099,0.00976,0.91703,0.73696,0.7734,0.52936,1.24934,1.17416,0.01051,0.0010892,0.0010892,0.0010892
48,340.726,1.19846,0.67968,0.00923,0.88264,0.76667,0.78002,0.50294,1.36256,1.09752,0.01165,0.0010694,0.0010694,0.0010694
49,347.676,1.06711,0.62456,0.00776,0.84112,0.76667,0.79724,0.51365,1.36212,0.83467,0.01182,0.0010496,0.0010496,0.0010496
50,354.8,1.13669,0.68788,0.00854,0.81317,0.72563,0.75346,0.49428,1.395,1.15028,0.01206,0.0010298,0.0010298,0.0010298
51,361.713,1.0698,0.68175,0.00907,0.8787,0.76667,0.78945,0.50934,1.34164,1.06832,0.01165,0.00101,0.00101,0.00101
52,368.598,1.07443,0.73402,0.00785,0.82665,0.7,0.76059,0.45429,1.33053,1.22074,0.01131,0.0009902,0.0009902,0.0009902
53,375.525,1.06415,0.6491,0.00732,0.79671,0.78411,0.76307,0.47076,1.31535,1.01356,0.01107,0.0009704,0.0009704,0.0009704
54,382.525,1.16288,0.72468,0.00909,0.88297,0.8,0.79381,0.50082,1.26992,1.14009,0.01092,0.0009506,0.0009506,0.0009506
55,389.486,1.11387,0.67653,0.00818,0.87306,0.76667,0.78678,0.51688,1.19879,1.01267,0.00969,0.0009308,0.0009308,0.0009308
56,396.371,1.05467,0.6977,0.00903,0.84758,0.8,0.78798,0.5038,1.24107,0.94393,0.01003,0.000911,0.000911,0.000911
57,403.243,1.03811,0.61653,0.00782,0.78266,0.7,0.74661,0.51277,1.24703,1.06325,0.0102,0.0008912,0.0008912,0.0008912
58,410.149,0.99174,0.55111,0.00741,0.86109,0.73333,0.77188,0.49083,1.32558,1.0086,0.01132,0.0008714,0.0008714,0.0008714
